업체명,식품명,기준량(g),에너지(kcal),단백질(g),지방(g),탄수화물(g),에너지밀도(kcal/g),탄수화물_에너지비율(%),단백질_에너지비율(%),지방_에너지비율(%),단백질_INQ
던킨도너츠,도넛_요거트올드훼션드 도넛,100,457,4.62,-1.0,-1.0,4.57,-1.0,4.04,-1.0,0.37
크리스피크림도넛,도넛_우유크림 듬뿍 도넛,100,395,5.75,-1.0,-1.0,3.95,-1.0,5.82,-1.0,0.53
파리바게뜨,도넛_쫄깃한 왕꽈배기,100,373,5.45,-1.0,-1.0,3.73,-1.0,5.84,-1.0,0.53
뚜레쥬르,도넛_쫄깃한찹쌀 도넛,100,340,6.17,-1.0,-1.0,3.4,-1.0,7.26,-1.0,0.66
파리바게뜨,도넛_쫄깃한찹쌀스틱 시나몬,100,400,1.8,-1.0,-1.0,4.0,-1.0,1.8,-1.0,0.16
따삐오,도넛_찹쌀꽈배기도너츠,100,462,8.0,-1.0,-1.0,4.62,-1.0,6.93,-1.0,0.63
송사부수제쌀고로케,도넛_찹쌀 꽈배기,100,366,6.15,-1.0,-1.0,3.66,-1.0,6.72,-1.0,0.61
따삐오,도넛_찹쌀도너츠,100,380,4.0,-1.0,-1.0,3.8,-1.0,4.21,-1.0,0.38
송사부수제쌀고로케,도넛_찹쌀 도넛,100,336,6.0,-1.0,-1.0,3.36,-1.0,7.14,-1.0,0.65
파리바게뜨,도넛_찹쌀 도넛,100,333,5.38,9.68,56.99,3.33,68.46,6.46,26.16,0.59
파리바게뜨,도넛_찹쌀페스츄리 도넛,100,427,7.27,-1.0,-1.0,4.27,-1.0,6.81,-1.0,0.62
크리스피크림도넛,도넛_초코 와플넛 도넛,100,437,6.35,-1.0,-1.0,4.37,-1.0,5.81,-1.0,0.53
뚜레쥬르,도넛_초코마카롱 도넛,100,413,7.69,-1.0,-1.0,4.13,-1.0,7.45,-1.0,0.68
던킨도너츠,도넛_초코베리듀얼하트 도넛,100,330,2.63,-1.0,-1.0,3.3,-1.0,3.19,-1.0,0.29
크리스피크림도넛,도넛_초코홀릭 도넛,100,489,7.27,-1.0,-1.0,4.89,-1.0,5.95,-1.0,0.54
크리스피크림도넛,도넛_초콜릿 아이스드 글레이즈드 도넛,100,441,7.14,-1.0,-1.0,4.41,-1.0,6.48,-1.0,0.59
크리스피크림도넛,도넛_카라멜 아이스드 도넛,100,372,4.69,-1.0,-1.0,3.72,-1.0,5.04,-1.0,0.46
송사부수제쌀고로케,도넛_카스테라크림 꽈배기,100,308,6.67,-1.0,-1.0,3.08,-1.0,8.66,-1.0,0.79
던킨도너츠,도넛_카카오후로스티드 도넛,100,413,6.25,20.83,50.0,4.13,48.43,6.05,45.39,0.55
던킨도너츠,도넛_카푸치노츄이스티 도넛,100,406,1.92,21.15,51.92,4.06,51.15,1.89,46.88,0.17
파리바게뜨,도넛_케익꽈배기 도넛,100,376,7.06,20.0,41.18,3.76,43.81,7.51,47.87,0.68
던킨도너츠,도넛_켈로그우유 도넛,100,458,3.08,-1.0,-1.0,4.58,-1.0,2.69,-1.0,0.24
파리바게뜨,도넛_쿠키&다크초코링도넛,100,473,5.33,24.0,52.0,4.73,43.97,4.51,45.67,0.41
파리바게뜨,도넛_쿠키&화이트초코링도넛,100,473,5.33,26.67,52.0,4.73,43.97,4.51,50.75,0.41
크리스피크림도넛,도넛_크로넛 글레이즈드 도넛,100,455,5.38,-1.0,-1.0,4.55,-1.0,4.73,-1.0,0.43
파리바게뜨,도넛_크림치즈 찹쌀도넛 (2개입),100,359,6.36,-1.0,-1.0,3.59,-1.0,7.09,-1.0,0.64
파리바게뜨,도넛_크림치즈 찹쌀도넛,100,364,5.45,-1.0,-1.0,3.64,-1.0,5.99,-1.0,0.54
따삐오,도넛_통밀꽈배기,100,422,11.39,-1.0,-1.0,4.22,-1.0,10.8,-1.0,0.98
크리스피크림도넛,도넛_트위스트 글레이즈드 도넛,100,380,6.1,-1.0,-1.0,3.8,-1.0,6.42,-1.0,0.58
송사부수제쌀고로케,도넛_팥도넛,100,323,8.0,-1.0,-1.0,3.23,-1.0,9.91,-1.0,0.9
파리바게뜨,도넛_팥이팅 소보루 도넛,100,321,6.32,-1.0,-1.0,3.21,-1.0,7.88,-1.0,0.72
던킨도너츠,도넛_페이머스 글레이즈드 도넛,100,433,4.35,23.91,50.0,4.33,46.19,4.02,49.7,0.37
크리스피크림도넛,도넛_프리미엄 스트로베리 필드 도넛,100,361,5.71,-1.0,-1.0,3.61,-1.0,6.33,-1.0,0.58
던킨도너츠,도넛_해피버스데이 도넛,100,458,6.59,-1.0,-1.0,4.58,-1.0,5.76,-1.0,0.52
던킨도너츠,도넛_허니후리터,100,449,5.41,24.32,48.65,4.49,43.34,4.82,48.75,0.44
파리바게뜨,도넛_화이트초코링 도넛,100,462,6.15,-1.0,-1.0,4.62,-1.0,5.32,-1.0,0.48
파리바게뜨,도넛_화이트초코츄잉스타 도넛,100,444,3.7,-1.0,-1.0,4.44,-1.0,3.33,-1.0,0.3
송사부수제쌀고로케,도넛_흑미찹쌀 도넛,100,350,4.0,-1.0,-1.0,3.5,-1.0,4.57,-1.0,0.42
던킨도너츠,도넛_BEURRE 헤이즐넛&바닐라 도넛,100,451,4.41,27.94,45.59,4.51,40.43,3.91,55.76,0.36
던킨도너츠,도넛_BEURRE 버터넛,100,425,4.11,19.18,58.9,4.25,55.44,3.87,40.62,0.35
뚜레쥬르,도넛_남해마늘로만든버터갈릭 꽈배기,100,420,8.04,-1.0,-1.0,4.2,-1.0,7.66,-1.0,0.7
파리바게뜨,도넛_단팥 도넛,100,310,6.67,9.52,44.76,3.1,57.75,8.61,27.64,0.78
달콤,도넛_더블카라멜 도넛,100,362,5.63,-1.0,-1.0,3.62,-1.0,6.22,-1.0,0.57
송사부수제쌀고로케,도넛_동글아기찹쌀 도넛,100,357,4.76,-1.0,-1.0,3.57,-1.0,5.33,-1.0,0.48
던킨도너츠,도넛_디어 마이 러브 도넛,100,458,3.9,27.27,49.35,4.58,43.1,3.41,53.59,0.31
달콤,도넛_라즈베리블라썸 도넛,100,338,4.41,-1.0,-1.0,3.38,-1.0,5.22,-1.0,0.47
던킨도너츠,도넛_레드벨벳 먼치킨 도넛,100,486,3.57,27.14,57.14,4.86,47.03,2.94,50.26,0.27
크리스피크림도넛,도넛_메이플링 도넛,100,478,10.2,-1.0,-1.0,4.78,-1.0,8.54,-1.0,0.78
던킨도너츠,도넛_바닐라빈 바이츠 도넛,100,404,7.04,15.49,59.15,4.04,58.56,6.97,34.51,0.63
달콤,도넛_바닐라초코볼 도넛,100,326,5.88,-1.0,-1.0,3.26,-1.0,7.21,-1.0,0.66
던킨도너츠,도넛_바바리안 먼치킨 도넛,100,400,6.0,20.0,50.0,4.0,50.0,6.0,45.0,0.55
던킨도너츠,도넛_바바리안필드 도넛,100,378,5.0,18.33,48.33,3.78,51.14,5.29,43.64,0.48
송사부수제쌀고로케,도넛_바삭64겹 꽈배기,100,443,8.0,-1.0,-1.0,4.43,-1.0,7.22,-1.0,0.66
달콤,도넛_벨지안초코 도넛,100,418,7.35,-1.0,-1.0,4.18,-1.0,7.03,-1.0,0.64
파리바게뜨,도넛_생크림폭탄 도넛,100,364,5.45,21.82,34.55,3.64,37.97,5.99,53.95,0.54
